coreid,cae,const,age,pg_age,degree_count,gift_count,fys_giving,act_consistency,crn_consistency,child_count,event_count,married,gillett
672455,A     ,I     ,27,0,1,1,1,1,1,0,0,0,0
672561,A     ,I     ,26,0,1,6,4,0.8,0.8,0,0,0,0
672631,A     ,I     ,26,0,1,1,1,1,0.5,0,0,0,0
672645,A     ,I     ,26,0,1,1,1,1,0.25,0,0,0,0
673364,A     ,I     ,26,0,1,2,2,1,0.4,0,0,0,0
673384,A     ,I     ,27,0,1,1,1,1,0.25,0,0,0,0
673565,A     ,I     ,24,0,1,1,1,1,0.333333333,0,0,0,0
673688,I     ,I     ,0,0,0,4,4,1,0.8,0,0,1,0
673963,I     ,S     ,0,0,0,3,2,0.5,0.5,0,0.693147181,1,0
675060,A     ,S     ,31,0,1,7,4,0.8,0.8,0,0,1,0
675155,A     ,I     ,24,0,1,3,2,1,0.4,0,0,0,0
675174,ST    ,I     ,29,0,0,5,1,1,0.2,0,0,1,0
675214,A     ,S     ,26,0,1,4,4,1,1,0,0,0,0
675338,A     ,I     ,29,0,1,3,2,0.5,0.4,0,0,0,0
675353,A     ,I     ,26,0,1,2,2,0.4,0.4,0,0,0,0
675455,I     ,I     ,0,0,0,3,2,1,1,0,1.098612289,1,0
675468,A     ,I     ,26,0,1,3,2,0.5,0.4,0,0,0,0
675485,A     ,I     ,25,0,2,1,1,1,0.25,0,0,0,0
675736,I     ,I     ,0,0,0,2,2,1,0.5,0,1.098612289,0,0
675766,A     ,I     ,26,0,1,2,2,0.5,0.4,0,0,0,0
675912,I     ,I     ,0,0,0,1,1,1,1,0,1.098612289,1,0
675923,I     ,I     ,0,0,0,16,13,0.764705882,0.764705882,0,1.609437912,1,0
675990,A     ,I     ,27,0,1,1,1,1,0.25,0,0,1,0
676002,A     ,I     ,24,0,1,1,1,1,0.25,0,0,0,0
676823,A     ,I     ,25,0,1,1,1,1,1,0,0,0,0
677122,A     ,I     ,25,0,1,1,1,1,0.5,0,0,0,0
677214,A     ,I     ,51,0,1,1,1,1,1,0,0,1,0
677255,A     ,I     ,26,0,1,1,1,1,1,0,0,0,0
677730,A     ,I     ,24,0,1,1,1,1,0.25,0,0,0,0
677977,P     ,I     ,0,0,0,2,2,1,0.5,1,0,1,0
678088,P     ,I     ,0,0,0,2,2,0.5,0.5,1,0,1,0
678130,P     ,I     ,0,0,0,3,3,1,0.75,1,0,1,0
678250,P     ,I     ,0,0,0,2,2,1,0.5,1,0,1,0
678257,P     ,I     ,0,0,0,3,2,0.666666667,0.666666667,1,0,1,0
678343,P     ,I     ,0,0,0,2,2,1,0.5,2,0,0,0
678383,P     ,I     ,0,0,0,1,1,1,0.25,1,0,1,0
678572,P     ,I     ,0,0,0,1,1,1,0.25,1,0,1,0
678981,P     ,I     ,0,0,0,1,1,1,0.25,1,0,1,0
679309,P     ,I     ,0,0,0,2,2,0.666666667,0.666666667,1,0,1,0
679365,P     ,I     ,0,0,0,2,2,1,0.5,1,0,1,0
679986,P     ,I     ,0,0,0,2,2,1,0.5,1,0,1,0
680200,P     ,I     ,0,0,0,4,4,1,1,1,0,1,0
