"coreid","gift_count","fys","first_fy","last_fy","act_yrs","unrestricted_count","unrestricted_percent","honmem_count","honmem_percent","event_count","vol_count","group_count","grad_yr","cons_giv_yrs","degree","major","dept","birth_year","birth_month","birth_day","post_direction","pre_direction","street_number","street_type","sub_addr","addr_flag1","addr_flag2","addr_flag3","addr_code1","addr_code2","addr_code3","addr_code4","addr_code5","median_income","annual_two","target"
85080,27,24,1977,2014,38,13,0.481481,0,0,2,0,0,1971,22,4,12,3,-1,-1,-1,3,1,6155,3,1,1,1,1,10,2,245,1,550,80434,500,1
85086,29,25,1977,2014,38,5,0.172414,1,0.0344828,3,1,1,1968,8,3,37,8,-1,-1,-1,7,1,415,1,1,1,2,3,8,1,45,2,153,48390,1550,1
85090,5,4,2008,2014,7,5,1,0,0,0,0,0,1972,0,4,7,8,-1,-1,-1,8,1,13135,4,1,1,1,1,5,2,85,2,356,42945,200,1
85093,30,27,1984,2014,31,13,0.433333,0,0,1,0,0,1991,13,4,38,4,1946,9,2,1,1,17040,3,1,1,1,1,38,1,385,1,402,55297,100,0
85096,30,27,1984,2014,31,13,0.433333,0,0,2,0,0,1968,13,3,3,8,1946,10,24,1,1,17040,3,1,1,1,1,38,1,385,1,402,55297,100,0
85128,13,11,2003,2014,12,12,0.923077,0,0,0,0,0,1972,12,6,9,7,-1,-1,-1,2,1,9165,1,1,1,2,2,20,2,246,1,652,74626,200,1
85147,12,12,2000,2014,15,11,0.916667,0,0,0,0,0,1986,9,2,28,2,1954,8,3,4,1,1861,2,1,1,1,1,11,2,12,2,613,44291,150,1
85172,18,17,1997,2014,18,13,0.722222,0,0,0,0,0,1977,13,8,36,3,-1,-1,-1,1,3,4699,8,1,1,1,1,6,2,74,1,998,66161,20,1
85201,35,26,1979,2014,36,4,0.114286,0,0,1,0,2,1976,10,4,9,8,-1,-1,-1,1,1,7725,1,1,1,1,1,5,1,171,1,250,88238,250,1
85251,2,2,2009,2010,2,0,0,0,0,7,0,3,1971,0,4,13,8,-1,-1,-1,2,1,1320,3,1,1,1,1,38,1,18,1,200,56980,50,1
85272,12,11,1996,2014,19,11,0.916667,0,0,0,0,0,1977,3,4,34,9,-1,-1,-1,1,1,18,6,1,1,1,1,14,1,75,1,188,75730,50,0
85284,23,21,1991,2014,24,11,0.478261,0,0,0,0,0,1990,13,4,18,4,1954,3,1,5,1,890,1,1,1,2,2,73,1,222,2,902,58125,50,1
85294,11,7,2000,2014,15,0,0,0,0,2,0,0,1986,3,4,39,6,1963,12,2,3,1,1910,4,1,1,2,2,9,2,243,2,109,118761,1450,1
85322,3,3,1998,2011,14,1,0.333333,0,0,11,0,0,1977,0,7,40,3,-1,-1,-1,2,1,7261,4,1,1,2,2,9,2,114,2,617,74626,200,0
